id;nome;cognome;codice_fiscale;e_mail
1;Home Loan Account;Stand-alone teal;"EhKRcC35D09E539M";"Q5@5uR(I]w\"
2;convergence Auto Loan Account matrix;Towels Tasty wireless;"TWphzt16s60m436b";"I\r@0-,tmH"
3;software;Knolls;"PThmDg79r00G462l";"SFl1jD@z`?mI"
4;Games olive Forward;rich Officer indexing;"sIzjIC78A92x761t";"P.JT@azS_0jfi^m"
5;Unbranded;transmitter local International;"vCrgSQ23T80g126c";"4.+@pazmtjMh"
6;Yemeni Rial;Investment Account;"ESdYIX17C28q822M";"t@k2*aZbZSf"
7;orchestration Horizontal;Web;"dUqoSi28l52v972a";"-pBXg@sJ04xELWplQ"
8;object-oriented;back-end;"NrDgpz41b87W078f";"RX`k1j@X.`71b{T^"
9;functionalities;Small Nepalese Rupee Agent;"Xhhuge50C69z214X";"20l@yDnH$]B"
10;demand-driven Loaf;Direct synthesizing;"QrdeSM79t00c789k";"R5B@SMl_qn~Lh"
